Data Dictionary names available in the Instrument Interface (Build 2025X)

Format:
Name                             Type    Units   Description
S_AOStatus                       string  ---     AO adsec status
S_AOCorrectedModes               int     ---     AO number of corrected modes
S_AOMode                         string  ---     AO mode
S_AOslReady                      int     ---     AO seeing limited ready
S_AOaoReady                      int     ---     AO adaptive ready
S_AOLoopOn                       int     ---     AO loop on flag
S_AOStrehl                       double  ---     AO estimated Strehl ratio
S_AOFLAOWccdBin                  int     ---     AO FLAO CCD binning
S_AOFLAOWccdFreq                 double  Hz      AO FLAO CCD loop frequency
S_AOFLAOWmodAmp                  double  ---     AO FLAO modulation amplitude
S_AOFLAOWcounts                  int     c/sa    AO FLAO counts per subaperture
S_AOLBTIWccdBin                  int     ---     AO LBTI CCD binning
S_AOLBTIWccdFreq                 double  Hz      AO LBTI CCD loop frequency
S_AOLBTIWmodAmp                  double  ---     AO LBTI modulation amplitude
S_AOLBTIWcounts                  int     c/sa    AO LBTI counts per subaperture
S_AOLBTIWbaysidex                double  mm      AO LBTI bayside stage x position
S_AOLBTIWbaysidey                double  mm      AO LBTI bayside stage y position
S_AOLBTIWbaysidez                double  mm      AO LBTI bayside stage z position
S_AOOffloadY                     double  arcsec  AO Y tip/tilt offload
S_AOOffloadX                     double  arcsec  AO X tip/tilt offload
S_AOOffloadZ                     double  mm      AO Z offload
S_AnemTimeStamp                  long    sec     AO anemometer time stamp seconds from epoch
S_AnemWindAvg1s                  double  m/s     AO anemometer 1 second average speed
S_AnemWindAvg10s                 double  m/s     AO anemometer 10 seconds average speed
S_AnemWindAvg1m                  double  m/s     AO anemometer 1 minute average speed
S_ARGOSStatus                    string  ---     ARGOS state
S_ARGOSNModes                    int     ---     ARGOS number of corrected modes
S_ARGOSMode                      string  ---     ARGOS mode
S_ARGOSFrequency                 int     Hz      ARGOS loop frequency
S_ARGOSRadius                    int     arcmin  ARGOS constellation radius

        [ECS data]
S_MirrorVentOn                   bool    ---     Left mirror ventilation blower on
S_MirrorVentDuctTemp             float   C       Left mirror ventilation duct temperature
S_MirrorVentDuctRH               float   %       Left mirror ventilation duct relative humidity

        [IRTC data]
S_IRTCSpareBool                  bool    ---     IRTC spare bool
S_IRTCSpareDouble                double  ---     IRTC spare double
S_IRTCSpareFloat                 float   ---     IRTC spare float
S_IRTCSpareInt                   int     ---     IRTC spare int
S_IRTCSpareLong                  long    ---     IRTC spare long
S_IRTCSpareString                string  ---     IRTC spare string

        [LBC data]
LBCOBProgress                    string  ---     OB status (ready/running)
LBCSwProcess                     int     ---     Instrument software process state
S_LBCFilter                      string  ---     Filter name
S_LBCShutterState                string  ---     N/A/enabled/disabled/not commanded/open/closed
S_LBCDetectorState               string  ---     ready/setup/flushing/hard flushing/exposure/saving readout/passive/preset
S_LBCGuidingState                string  ---     processing/failed/not required/delaying/starting/exposing/ready/..
S_LBCRotatorAngle                float   deg     Rotator angle
S_LBCPositionAngle               float   deg     Position angle
S_LBCCCDTemp                     float   K       CCD detector temperature
S_LBCDewarPres                   float   mbar    CCD dewar vacuum pressure
S_LBCDewarTemp                   float   K       CCD dewar LN reservoir temperature
S_LBCFWHM                        float   arcsec  Calculated full width at half max for the guide image
S_LBCSeeing                      float   arcsec  Averaged seeing for the guide image
S_LBCPowerState                  int     ---     Power state
S_LBCSetupState                  int     ---     Configuration state
S_LBCHealthState                 int     ---     Health state
S_LBCHeartbeatTime               string  HMS     When the last data item was sent to DD from LBC
S_LBCExposureSeq                 string  sec     Exposure time n of m [sec] elapsed
S_LBCImageSeq                    string  ---     Image m of n in the sequence
S_LBCFilterSeq                   string  ---     Filter change m of n in the sequence
S_LBCUpdateTime                  long    sec     Houskeeping update time in seconds from epoch
S_LBCCameraError                 int     ---     Science camera error state
S_LBCChannelError                int     ---     Overall channel error state
S_LBCFilterError                 int     ---     Filter error state
S_LBCHKProcess                   int     ---     Housekeeping process state
S_LBCOBError                     int     ---     OB processing error state
S_LBCProfibusError               int     ---     Profibus error state
S_LBCPowerError                  int     ---     Power error state
S_LBCRotatorError                int     ---     Rotator error state
S_LBCTCSError                    int     ---     TCS error state
S_LBCTrackerError                int     ---     Tech camera error state
S_LBCUploadError                 int     ---     Upload error state
S_LBCSpareError1                 int     ---     Spare error
S_LBCSpareError2                 int     ---     Spare error
S_LBCSpareError3                 int     ---     Spare error
S_LBCSpareError4                 int     ---     Spare error
S_LBCSpareError5                 int     ---     Spare error
S_LBCSpareError6                 int     ---     Spare error
S_LBCSpareError7                 int     ---     Spare error
S_LBCSpareError8                 int     ---     Spare error
S_LBCSpareError9                 int     ---     Spare error
S_LBCSpareError10                int     ---     Spare error
S_LBCErrorMessage                string  ---     Error message associated with any of the error states
S_LBCChannelState                string  ---     enabled/ready/preset-expose-save/stop/parking/warning/error/inhibited/deactivated/disabled
S_LBCGuideImagePath              string  ---     Path for guide image
S_LBCGuideImageFilename          string  ---     Name of guide image
S_LBCLastGuideImageTaken         long    sec     Guide image timestamp in seconds from epoch

        [LUCIFER data]
S_LUCIDDUpdateTime               long    sec     Time in seconds from epoch
S_LUCIFilterWheel1Position       int     ---     Filter wheel 1 number
S_LUCIFilterWheel1Status         int     ---     Filter wheel 1 status (0=OK, 1=active, 2=idle, 3=engineering, 4=warning, 5=error, 6=panic)
S_LUCIFilterWheel2Position       int     ---     Filter wheel 2 number
S_LUCIFilterWheel2Status         int     ---     Filter wheel 2 status (0=OK, 1=active, 2=idle, 3=engineering, 4=warning, 5=error, 6=panic)
S_LUCIGratingSelected            string  ---     Grating name
S_LUCIGratingStatus              int     ---     Grating status (0=OK, 1=active, 2=idle, 3=engineering, 4=warning, 5=error, 6=panic)
S_LUCICameraName                 string  ---     Name of selected camera
S_LUCICameraUnitStatus           int     ---     Camera status (0=OK 1=active, 2=idle, 3=engineering, 4=warning, 5=error, 6=panic)
S_LUCIPupilViewerPosition        int     ---     Pupil viewer position (0 in, 1 out, -1 unknown)
S_LUCIPupilViewerStatus          int     ---     Pupil viewer status (0=OK, 1=active, 2=idle, 3=engineering, 4=warning, 5=error, 6=panic)
S_LUCICalibrationUnitPosition    int     ---     Calibration unit position (0 out, 1 in, -1 inknown)
S_LUCICalibrationUnitStatus      int     ---     Calibration unit status (0=OK, 1=active, 2=idle, 3=engineering, 4=warning, 5=error, 6=panic)
S_LUCIReadoutStatus              int     ---     Readout status (0=OK, 1=active, 2=idle, 3=engineering, 4=warning, 5=error, 6=panic)
S_LUCITemperatureAlarm           bool    ---     True if temperature in alarm
S_LUCITemperatures[0]            float   K       Structure bottom temperature
S_LUCITemperatures[1]            float   K       Focal plane unit temperature
S_LUCITemperatures[2]            float   K       Getter unit temperature
S_LUCITemperatures[3]            float   K       Structure top temperature
S_LUCITemperatures[4]            float   K       Camera unit temperature
S_LUCITemperatures[5]            float   K       Grating unit temperature
S_LUCITemperatures[6]            float   K       MOS unit temperature
S_LUCITemperatures[7]            float   K       MOS unit temperature
S_LUCITemperatures[8]            float   K       Electronic rack temperature
S_LUCITemperatures[9]            float   K       Electronic rack temperature
S_LUCITemperatures[10]           float   K       Electronic rack temperature
S_LUCITemperatures[11]           float   K       Electronic rack temperature
S_LUCITemperatures[12]           float   K       Measured temperature
S_LUCITemperatures[13]           float   K       Measured temperature
S_LUCIPressures[0]               float   mbar    Measured pressure
S_LUCIPressures[1]               float   mbar    Measured pressure
S_LUCIPressureStatus[0]          int     ---     Pressure status (0=OK, 1=underRange, 2=overRange, 3=sensorError, 4=sensorOff, 5=noSensor, 6=IDerror)
S_LUCIPressureStatus[1]          int     ---     Pressure status (0=OK, 1=underRange, 2=overRange, 3=sensorError, 4=sensorOff, 5=noSensor, 6=IDerror)
S_LUCIExpTimeRemaining           float   sec     Exposure time remaining
S_LUCINumberExposures            int     ---     Number of exposures remaining
S_LUCIDetectorState              string  ---     Detector state (Integrating, stopped, flushing, etc)
S_LUCIDetectorStatus             int     ---     Detector status (0=OK, 1=active, 2=idle, 3=engineering, 4=warning, 5=error, 6=panic)
S_LUCIMOSUnitStatus              int     ---     MOS unit status (0=OK, 1=active, 2=idle, 3=engineering, 4=warning, 5=error, 6=panic)
S_LUCIMaskID                     string  ---     ID of mask in use
S_LUCIShutterState               string  ---     open/closed
S_LUCIPowerOn[0]                 bool    ---     Power for MCE, ROE, coldHead1, coldHead2
S_LUCIPowerOn[1]                 bool    ---     Power for MCE, ROE, coldHead1, coldHead2
S_LUCIPowerOn[2]                 bool    ---     Power for MCE, ROE, coldHead1, coldHead2
S_LUCIPowerOn[3]                 bool    ---     Power for MCE, ROE, coldHead1, coldHead2
S_LUCIPower[0]                   float   volt    Voltages for MCE, ROE, coldHead1, coldHead2
S_LUCIPower[1]                   float   volt    Voltages for MCE, ROE, coldHead1, coldHead2
S_LUCIPower[2]                   float   volt    Voltages for MCE, ROE, coldHead1, coldHead2
S_LUCIPower[3]                   float   volt    Voltages for MCE, ROE, coldHead1, coldHead2
S_LUCIExposureState              string  ---     UNKNOWN, READY, RUNNING, ERROR
S_LUCISaveState                  string  ---     UNKNOWN, READY, SAVING, ERROR
S_LUCIExposureCounts             string  ---     Exposures remaining/total exposures
S_LUCISpareString1               string  ---     Exposures remaining/total exposures
S_LUCIExposureRemaining          string  sec     Time remaining/total time
S_LUCISpareString2               string  sec     Time remaining/total time
S_LUCITurnoutWarning             bool    ---     Mask in turnout longer than 15 minutes
S_LUCISpareInt1                  bool    ---     Mask in turnout longer than 15 minutes

        [MODS data]
S_MODSLLBPower                   string  ---     Lamp/laser box AC power state (ON/OFF/FAULT)
S_MODSInstConfig                 string  ---     Instrument configuration (Dual/Red/Blue Imaging/Grating/Prism)
S_MODSBlueCCDTemp                float   C       Blue CCD detector mount temperature
S_MODSBlueDewPres                float   torr    Blue CCD dewar vacuum pressure
S_MODSBlueDewTemp                float   C       Blue CCD dewar LN reservoir temperature
S_MODSBlueHEBTemp                float   C       Blue CCD Head Electronics Box internal air temperature
S_MODSBlueHEBPower               string  ---     Blue CCD Head Electronics Box AC power state (ON/OFF/FAULT/MANUAL)
S_MODSBlueIEBTemp                float   C       Blue Instrument Electronics Box internal air temperature
S_MODSBlueIEBPower               string  ---     Blue Instrument Electronics Box AC power state (ON/OFF/FAULT)
S_MODSGlycolReturnPres           float   psi-g   Glycol-coolant return-line pressure
S_MODSGlycolReturnTemp           float   C       Glycol-coolant return-line temperature
S_MODSGlycolSupplyPres           float   psi-g   Glycol-coolant supply-line pressure
S_MODSGlycolSupplyTemp           float   C       Glycol-coolant supply-line temperature
S_MODSHatch                      string  ---     Dark hatch state
S_MODSIMCSLaser                  string  ---     IMCS IR laser power state
S_MODSName                       string  ---     Attached MODS unit name (MODS1 or MODS2)
S_MODSPowerState                 string  ---     Power state (ON/OFF/FAULT)
S_MODSRedCCDTemp                 float   C       Red CCD detector mount temperature
S_MODSRedDewPres                 float   torr    Red CCD dewar vacuum pressure
S_MODSRedDewTemp                 float   C       Red CCD dewar LN reservoir temperature
S_MODSRedHEBTemp                 float   C       Red CCD Head Electronics Box internal air temperature
S_MODSRedHEBPower                string  ---     Red CCD Head Electronics Box AC power state (ON/OFF/FAULT/MANUAL)
S_MODSRedIEBTemp                 float   C       Red Instrument Electronics Box internal air temperature
S_MODSRedIEBPower                string  ---     Red Instrument Electronics Box AC power state (ON/OFF/FAULT)
S_MODSTimeStamp                  long    sec     Time of data measurement in seconds from epoch
S_MODSUpdateTime                 string  HMS     Date/time string UTC ISO-8601 format
S_MODSIUBTemp                    float   C       Utility distribution box internal air temperature
S_MODSCalibTower                 string  ---     IN/OUT position of the calibration tower
S_MODSMaskID                     string  ---     Mask identifier
S_MODSBlueImageQuality           float   TBD     Blue image quality metric
S_MODSBlueFilter                 string  ---     Blue filter name
S_MODSBlueGrating                string  ---     Blue grating name
S_MODSBlueCCDState               string  ---     Blue CCD exposure state (IDLE/ERASING/EXPOSING/READOUT)
S_MODSBlueSetupState             int     ---     Blue configuration state
S_MODSBlueShutterState           string  ---     Blue CCD shutter state
S_MODSRedImageQuality            float   TBD     Red image quality metric
S_MODSRedFilter                  string  ---     Red filter name
S_MODSRedGrating                 string  ---     Red grating name
S_MODSRedCCDState                string  ---     Red CCD exposure state (IDLE/ERASING/EXPOSING/READOUT)
S_MODSRedSetupState              int     ---     Red configuration state
S_MODSRedShutterState            string  ---     Red CCD shutter state
S_MODSGuideCamPower              string  ---     AGw unit guide camera controller AC power state (ON/OFF/FAULT/MANUAL)
S_MODSWFSCamPower                string  ---     AGw unit wavefront sensor camera AC power state (ON/OFF/FAULT/MANUAL)
S_MODSAGWXPos                    float   mm      AGW Stage X actuator position
S_MODSAGWYPos                    float   mm      AGW Stage Y actuator position
S_MODSAGWFPos                    float   mm      AGW Stage Focus actuator position
S_MODSAGWFilterName              string  ---     AGW Guide Camera Filter Name
S_MODSMaskSelected               int     ---     Slit Mask Cassette mask slot position selected
S_MODSMaskPosition               string  ---     Slit Mask position relative to the MODS focal plane (In/Out)
S_MODSDichroicPosition           int     ---     Dichroic Turret Position selected
S_MODSDichroicName               string  ---     Dichroic Turret Optic Name (Dichroic/Red Fold/Open)
S_MODSBlueCollTTFA               int     micron  Blue Collimator Mirror Tip/Tilt/Focus actuator A position
S_MODSBlueCollTTFB               int     micron  Blue Collimator Mirror Tip/Tilt/Focus actuator B position
S_MODSBlueCollTTFC               int     micron  Blue Collimator Mirror Tip/Tilt/Focus actuator C position
S_MODSBlueCollFocus              int     micron  Blue Collimator Focus position (TTFA+TTFB+TTFC)
S_MODSBlueGratingPosition        int     ---     Blue Grating Turret position (number 1..4)
S_MODSBlueCameraFocus            int     micron  Blue Camera Focus [microns]
S_MODSBlueFilterPosition         int     ---     Blue Camera Filter Wheel position (number 1..8)
S_MODSBlueVacuumGaugePower       string  ---     Blue Dewar Vacuum Ionization Gauge DC Power (on/off)
S_MODSBlueArchonPower            string  ---     Blue Archon CCD Controller AC Power (on/off)
S_MODSRedCollTTFA                int     micron  Red Collimator Mirror Tip/Tilt/Focus actuator A position
S_MODSRedCollTTFB                int     micron  Red Collimator Mirror Tip/Tilt/Focus actuator B position
S_MODSRedCollTTFC                int     micron  Red Collimator Mirror Tip/Tilt/Focus actuator C position
S_MODSRedCollFocus               int     micron  Red Collimator Focus position (TTFA+TTFB+TTFC)
S_MODSRedGratingPosition         int     ---     Red Grating Turret position (number 1..4)
S_MODSRedCameraFocus             int     micron  Red Camera Focus [microns]
S_MODSRedFilterPosition          int     ---     Red Camera Filter Wheel position (number 1..8)
S_MODSRedVacuumGaugePower        string  ---     Red Dewar Vacuum Ionization Gauge DC Power (on/off)
S_MODSRedArchonPower             string  ---     Red Archon CCD Controller AC Power (on/off)
S_MODSCalibLamps                 string  ---     Calibration lamps turned ON (None if all off)
S_MODSVFLATIntensity             float   ---     Variable Intensity Flat Field Lamp Intensity
S_MODSIMCSLaserBeam              string  ---     IMCS IR Laser beam output state (enabled/disabled)
S_MODSIMCSLaserPower             float   mW      IMCS IR Laser emitted beam power
S_MODSIMCSLaserTemp              float   C       IMCS IR Laser Head Temperature
S_MODSAirTempTop                 float   C       Enclosure Inside Air Temp at Top
S_MODSAirTempBottom              float   C       Enclosure Inside Air Temp at Bottom
S_MODSCollTempTop                float   C       Collimator Mirror Truss Tube Top Temp
S_MODSCollTempBottom             float   C       Collimator Mirror Truss Tube Bottom Temp

        [LBTI data]

        [PEPSIPFU data]

        XXX pepsi common, revisit
PEPSIChamberRedCCDTemperatureA   float   K       PEPSI chamber red CCD temperature sensor A
PEPSIChamberBlueCCDTemperatureB  float   K       PEPSI chamber blue CCD temperature sensor B
PEPSIChamberRedCCDTemperatureC   float   K       PEPSI chamber red CCD temperature sensor C
PEPSIChamberRedCCDDewarTemperaturfloat   K       PEPSI chamber red CCD dewar temperature
PEPSIChamberBlueCCDDewarTemperatufloat   K       PEPSI chamber blue CCD dewar temperature
PEPSIChamberRedCCDPressure       float   mbar    PEPSI chamber red CCD pressure
PEPSIChamberBlueCCDPressure      float   mbar    PEPSI chamber blue CCD pressure
PEPSIChamberRedCCDHeater         float   %       PEPSI chamber red CCD heater rate
PEPSIChamberBlueCCDHeater        float   %       PEPSI chamber blue CCD heater rate
PEPSIChamberRedCCDCryoSupply     float   psi     PEPSI chamber red CCD Cryotiger supply
PEPSIChamberBlueCCDCryoSupply    float   psi     PEPSI chamber blue CCD Cryotiger supply
PEPSIChamberRedCCDCryoReturn     float   psi     PEPSI chamber red CCD Cryotiger return
PEPSIChamberBlueCCDCryoReturn    float   psi     PEPSI chamber blue CCD Cryotiger return
PEPSIBridgeStop                  bool    N/A     PEPSI bridge cabinet emergency stop
PEPSIChamberStop                 bool    N/A     PEPSI chamber emergency stop
PEPSIBridgeWaterTankLeak         bool    N/A     PEPSI bridge water tank leak
PEPSIBridgeCabinetPumpLeak       bool    N/A     PEPSI bridge cabinet pump leak
PEPSIBridgeCryotigerLeak         bool    N/A     PEPSI bridge Cryotiger leak
PEPSIChamberSupplyBoxLeak        bool    N/A     PEPSI chamber Supply Box leak
        XXX

         sided pepsipfu
S_PEPSIPFUGlycol                 float   C       PEPSI PFU Glycol Temperature SX
S_PEPSIPFUHeater                 float   C       PEPSI PFU Heater Rate SX
S_PEPSIPFUTemperature            float   C       PEPSI PFU Temperature SX
S_PEPSIPFUUMAC                   float   C       PEPSI PFU UMAC Temperature SX
        [PEPSIPOL data]
        sided pepsipol
S_PEPSIPOLGlycol                 float   C       PEPSI POL Glycol Temperature SX
S_PEPSIPOLHeater                 float   C       PEPSI POL Heater Rate SX
S_PEPSIPOLTemperature            float   C       PEPSI POL Temperature SX
S_PEPSIPOLUMAC                   float   C       PEPSI POL UMAC Temperature SX

        [LINC data]
